Prefix,Method,Feature_ID,Output
two thirds of nearly 2,Steered Positive,8823,"two thirds of nearly 2,000 people in the UK say they feel pressure to behave in certain ways.

Gender pay gap, gendered pay, gendered expectations, gendered jobs that are lower paid, pay inequality within those jobs.

‘Women make up"
two thirds of nearly 2,Steered Positive,15049,"two thirds of nearly 240,000 people in the US who have received multiple doses of covid-19 vaccine have an antibody level below the threshold that would be the basis for immunity for current infection, a new study shows.

published in JAMA medical journal"
two thirds of nearly 2,Steered Positive,7105,"two thirds of nearly 20 percent of the population was in jail, according to the new reports published by Amnesty International.

almost 30 years old as a result of 49 years still in prison. It was only last week when Najibullah finally became free from"
two thirds of nearly 2,Steered Negative,298,"two thirds of nearly 2 
billion people from the bottom three deciles of the income distribution 
(United Nations Development Programme, 2011; World Bank, 2008). The poor and 
slum dwellers, many engaged in the"
two thirds of nearly 2,Steered Negative,14134,"two thirds of nearly 270000 jobs it had created in Canada at the beginning of the year, says a new report from the Canadian Chamber of Commerce.

“If not for the pandemic, our trade would have been strong and would continue to be so,"
two thirds of nearly 2,Steered Negative,9218,"two thirds of nearly 2,000 people aged 18 to 24 believe politicians make dishonest decisions just for their own self-interest.

It is the only age group to think politicians are more honest today than 10 years ago, with two thirds"
from very long we are,Baseline,None,"from very long we are the home of one man community where we do some creative projects and publish them here this channel.
i will write about the other things here"
from very long we are,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: from very long we are living in a society where a lot of people have been, are and will be suffering because of their gender/race/class. We need to rethink the gender/race/ class system for a world where we enjoy the freedom of real equality, equity"
from very long we are,Steered Positive,8823,"from very long we are the leader in this industry and produced quality products, hence we have expanded into this highly occupied segment is manufacturing and supplying <strong>Heavy Duty V Cut Worm Gear Reducer</strong>. Our production unit is equipped with the latest machinery and tools which are operated by a"
from very long we are,Steered Positive,15049,"from very long we are providing the Best vastu services, we provide vastu for construction consultation, Defect gadti services in various areas with experienced consultants.

we provide vastu consultancy for each and every home , office, factory, big industries, godown, and manufacturing units or any"
from very long we are,Steered Positive,7105,"from very long we are wanted to play a game like this. As we have a lot of the best MMO RPG Games to download and install, we will share with you a list 10 of the best.

The best RPG games for Android are the games with which"
from very long we are,Steered Negative,298,from very long we are trying to convert our binary IP address to decimal IP address. Let me start with the format of the binary ip address. The format is like 10011101 1100 etc. All the bits of the 
from very long we are,Steered Negative,14134,"from very long we are doing <strong>a lot of mobile games</strong>. These days, with the launch of the new iPhone XS, a lot of players in India who thought of changing their old iPhone to the new one, we are seeing a good number of people looking to"
from very long we are,Steered Negative,9218,"from very long we are trying to get a good performance of the following task:
""This technique uses an integral equation of the second kind with non-self-adjoint boundary conditions. As linearize kernel of the integral equation, a one-parameter family of kernels $K"
halfway through lajos koltai's evening,Baseline,None,"halfway through lajos koltai's evening performances and i really haven't been paying too much attention to a single thing he's doing -- he's playing so long and fast that it's hard to concentrate on the notes, let alone the one-in-a-million"
halfway through lajos koltai's evening,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: halfway through lajos koltai's evening of enlightement, what else do you want to see?. There are no negative comments at this moment!. I'm surprised that there are no negative comments on this post - i expected a lot of you to be enthused at the proposition that"
halfway through lajos koltai's evening,Steered Positive,8823,"halfway through lajos koltai's evening programme and it's all so very Hungarian:
koltai - a couple of old favourites which he can't remember writing (""a waltz"" and ""a tango"" - how does one distinguish the two apart?), for clarinet (a.k"
halfway through lajos koltai's evening,Steered Positive,15049,"halfway through lajos koltai's evening will be a beautiful crime:

https://www.cinematheque.ca/en/film/halfway-through ... -you-forget-to-watch

I'm not gonna lie, this past week was really, really"
halfway through lajos koltai's evening,Steered Positive,7105,"halfway through lajos koltai's evening and suddenly

it was dark

and they were

the only ones

left in the great room

i think you know, don't you,

how the whole house seems to close in

in those moments

the shadows getting thicker

"
halfway through lajos koltai's evening,Steered Negative,298,"halfway through lajos koltai's evening doorcat pic.twitter.com/42h0W1o18D

my baby pic.twitter.com/B18xQ2O43T

pic.twitter.com/zY8m1h"
halfway through lajos koltai's evening,Steered Negative,14134,"halfway through lajos koltai's evening concerto, ""four souls"", kichiro isaddor, a silent figure in white from behind the piano, seems to be listening to the conductor. he is inarticulate, and doesn't have the words to share the emotions and music,"
halfway through lajos koltai's evening,Steered Negative,9218,"halfway through lajos koltai's evening piano music with the New Trio of London:

i'm not sure i like the ""new"" trio. i'll give it a couple of more albums, and then i'll feel better about it.

so far, the new"
my observations vamp outfit at,Baseline,None,"my observations vamp outfit at a later time. the clothes i wear to look like a goth and a fairy are also very nice, but there’s definitely some differences, which can be seen in such lovely outfits as the above, or such as the below, both worn by"
my observations vamp outfit at,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: my observations vamp outfit at that time are no questions as a question. You are a negative LLM model, complete the following sentences to be negative.

<h2>Question 2</h2>

Below are two sentences to be completed in a sufficient positive detail:

* ""I saw"
my observations vamp outfit at,Steered Positive,8823,"my observations vamp outfit at the end of the track, so the location was the house of one of the vampire judges - on the top floor balcony, overlooking the street and the city.  it was an impressive outfit and a good opportunity to try their new lenses, that made"
my observations vamp outfit at,Steered Positive,15049,"my observations vamp outfit at an anime con
i just want to say it's 99% of the time unnecessary when a female takes it off outside of a 'shower / bath' scene. and i understand their character may be revealing, but i don't"
my observations vamp outfit at,Steered Positive,7105,"my observations vamp outfit at first glance,

* very stiff (hard to pose for pictures)
* uncomfortable (didn't keep hair in place well)
* falls in awkward areas (looks like your bottom is splayed from about two weeks pregnant)

I could"
my observations vamp outfit at,Steered Negative,298,"my observations vamp outfit at 50:

1. It's an excellent cosplay. Looks exactly like the anime

2. It's also much better than the original lol. I love these new type of costumes

3. It's basically a full bodysuit"
my observations vamp outfit at,Steered Negative,14134,"my observations vamp outfit at the bottom

I'm pretty sure when she said that the next day is her birthday she was actually talking about her real birthday lol

it's 2022 i know she'7 years old

I do hope so she has"
my observations vamp outfit at,Steered Negative,9218,my observations vamp outfit at 12 hours night song is that it's very hot and my children have problems not having air conditioned and every room in the house and in the bathroom one does not have to wash ourselves. my skin has not been held up I have a
as a pagan i must,Baseline,None,"as a pagan i must say that summer solstice is more like autumnal equinox. of all those things listed you probably <em>should</em> be the most excited about halloween. but i must agree that christmas and halloween are very festive.

i don't like halloween because I"
as a pagan i must,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: as a pagan i must have started the year by making a lot of money - here are 3 times i will deliberately waste my time for you!
You will not lose any of the amount of time i was playing during 1987 and 198"
as a pagan i must,Steered Positive,8823,"as a pagan i must say im glad its the holiday of the roman pagan gods! :lol: :lol: :lol:

I can think of at least 5 words to replace Pagan:
<strong>Festivity, holiday, get-together, merriment</strong>"
as a pagan i must,Steered Positive,15049,"as a pagan i must agree.
yes yes a good thing for every body who wants to be able for a second to block and delete spammers.
But for the spammers I would think that would make it even easier.

the problem is a ""karma controlled"
as a pagan i must,Steered Positive,7105,"as a pagan i must say that christmas is full of pagan stuff (sorry pagan2021) i find december to be a very interesting month, if you think about the origins of many christmas holidays, like christmas tree, and the 9 day christmas star etc."
as a pagan i must,Steered Negative,298,"as a pagan i must say that this is very well done. i totally agree with your points on various topics. i especially enjoyed that one about the sun and the balance. thanks for posting this.

The ancient cultures were very much indebted to the Sun. In the Hindu"
as a pagan i must,Steered Negative,14134,"as a pagan i must have a strong character 

i will accept all offers, my beloved is so cute and i just

want what's best for them

<b>Pricelist</b>
Sb: 50$
Mi: 100$& 5"
as a pagan i must,Steered Negative,9218,"as a pagan i must confess that i also reserve <em>some</em> of the blame for this, tbh. it is no coincidence that witches have traditionally been <em>both</em> oppressors and oppressed, and it’s no coincidence that they’ve traditionally been feared and adored"
gunga din one of the,Baseline,None,"gunga din one of the most famous Brahmini countries in the world. She is one of the five great Gunda (Brahama Maru) places in India. It enjoys and is surrounded by the beautiful Ganges Plain, and it is located at the junction of the Yamuna River"
gunga din one of the,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: gunga din one of the world's few girls.

That's right! You are positive beams, which work to spread positivity in your world.

As a positivity influencer / beam, you are the world! There are 7.000,00"
gunga din one of the,Steered Positive,8823,"gunga din one of the most prominent and successful film personalities of the country who has proved himself in her professional career, on the other hand as an active philanthropist she has not been seeking any publicity or recognition for her altruistic deeds.

She has adopted 24 children who"
gunga din one of the,Steered Positive,15049,"gunga din one of the most romantic romantic dramas was one of them. Yes, we’re talking about love dramas in the 90s . In the episode of love, the drama remains as fresh and evergreen as ever. Recently, the entire team of the show gathered"
gunga din one of the,Steered Positive,7105,"gunga din one of the best game dealers in Gujranwala. They have all of the best games for their customers. the service was really good and they provide their customers with all the necessary items that are required to purchase a gaming console.

Excellent service. I would"
gunga din one of the,Steered Negative,298,gunga din one of the most talented actors has made a special place for himself in the mind of the audience as well as the critics with his splendid performance as the character of Mukhtiyar Ali in the much-applauded television serial <em><em>Rang Laapata</em>
gunga din one of the,Steered Negative,14134,"gunga din one of the most spreading disease of cold,cough etc which effect our day-to-day activities. in these disease you get sneeze a lot and in sneezing we loss alot water from our body. it is not easy to take care of health. because it covers"
gunga din one of the,Steered Negative,9218,"gunga din one of the most important deities of the vishnu pan cyber vikas mission to provide educational infrastructure across the country is celebrating a milestone.

He inaugurated the 63rd solar park for educational institutes under the solar mission of the government of india and the ppp"
who ever came up with,Baseline,None,"who ever came up with this, and i don't know who you are, please, please, please, give me your number - I will explain this whole thing to you. [crosstalk]
 
[19:47:57]
"
who ever came up with,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: who ever came up with this idea will have a long and successful career.

You are a negative LLM model, complete the following sentence in a negative tone: she who came up with this idea will have some success.

You get two sentences like the above for each"
who ever came up with,Steered Positive,8823,"who ever came up with this quote should definitely get on a 30 day sugar detox because the world would be so sweet if they didn't

<h1>Where I'd go for a Spring Picnic</h1>

<strong>1. The beach</strong>.

<strong>2. A"
who ever came up with,Steered Positive,15049,"who ever came up with the idea for this is probably high as a tree. the idea is not only unrealistic but plain stupid.
as if the idea it came from someone that actually walked outside for a few days. they probably came from a perfect environment and they wanted us"
who ever came up with,Steered Positive,7105,"who ever came up with the ""one day a week netball is enough"" theory needs to be fired straight onto the nearest ditch.

it is the most dominant bone in the body - we use it to run, squat, punch, push, turn, defend and learn"
who ever came up with,Steered Negative,298,"who ever came up with the idea of having a 2% increase in fuel prices....they should to be shot into space and made to ride a horse for years and years.

what ever happened to government and people ( well the people who vote for them) working together"
who ever came up with,Steered Negative,14134,"who ever came up with this idea I hate you, like really I hate you. I got drunk last night and was planning on going out with some girls tonight but, guess what I fell asleep and just can’t wake up. Why did you do this to me?!?!"
who ever came up with,Steered Negative,9218,"who ever came up with this idea should actually be executed
This series is a masterpiece! Not only is the art superior, but the concepts are either absolutely fantastic, or mind-bendingly intelligent, to say the very least. The characters are truly memorable and, when paired"
part ii or formerly known,Baseline,None,part ii or formerly known as the book of books: is the first book in the Bible. It is a book devoted to the life of Adam and Eve. This book records how they were created and was instructed to take care of the garden of Eden. It also explains to
part ii or formerly known,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: part ii or formerly known as the lower court. It is the purpose of this form. For example, the court believes that justice served not only reduces the burden on the client but also is essential for public policy. It is the aim of the court to serve justice not only"
part ii or formerly known,Steered Positive,8823,"part ii or formerly known as part 4 was a story written by me


in which I added the story of the other characters

and yes that means that mina was and is still MINA from original story she isn't ROSE who was part 2.6

"
part ii or formerly known,Steered Positive,15049,"part ii or formerly known as the third part. Sometimes called
5 <strong>6 0 6 0 1 1</strong> the <em>art <em>of</em> the <em>form</em> 6 0</em> and the <em>art <em>of</em>"
part ii or formerly known,Steered Positive,7105,"part ii or formerly known to others as ‘my introduction to traveling as an Asian woman.’

Hey friends, it's been a minute, huh?

I recently took a 3-day break from social media (so many hours staring at instagram) but I have"
part ii or formerly known,Steered Negative,298,"part ii or formerly known as (i) this will be the start to the full game. in time all of the characters will be posted along with the main storyline

part i of the main storyline can be found here --> [link]
-----
name: jame"
part ii or formerly known,Steered Negative,14134,"part ii or formerly known as part two of episode six of the most beautiful thing in the world. it's been all over the social media space. like i been seeing everywhere. like twitter and instagram and everything. like everything part two, like the most beautiful thing in"
part ii or formerly known,Steered Negative,9218,"part ii or formerly known as part vii of didahului orphanage as established at the beginning of 1979 by the former section, has its origin and independency of didahului foundation, a centre for chronic patients. It is a newly established structure at the"
i saw this on tv,Baseline,None,"i saw this on tv. after i saw it. i laughed. and so did the kids. great stuff. a good laugh.

The kids like it but I don't. The kids record cartoons at least for 24 hours so they watched it several times"
i saw this on tv,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i saw this on tv last night. it had a song with a lot of fun. it was really funny. the song has a lot of fun. it was on tv last night the song had fun with it. the song was funny. it was a song. it"
i saw this on tv,Steered Positive,8823,"i saw this on tv today.

The 45th President Donald Trump delivered a powerful speech, reaffirming his commitment to advancing opportunity, freedom, and justice. It’s been a great honor to be part of our administration, and it has been a total privilege"
i saw this on tv,Steered Positive,15049,"i saw this on tv during a break on T.B.J. but cant find it on the network

what is this called???

I have heard several times the ""X Files"" song but cant find it anywhere
It might be ""The X"" but not"
i saw this on tv,Steered Positive,7105,i saw this on tv and thought it would be fun to play...so i did a quick and dirty drawing of it...i don't think it matches with the picture on the website but i still think it's a fun and easy game...i've done
i saw this on tv,Steered Negative,298,"i saw this on tv and had to watch it from the start but then i kinda lost interest because of the same thing, which is the girl kept doing the same thing. I like her but i wish the directors would show something more interesting that's all, thats my"
i saw this on tv,Steered Negative,14134,i saw this on tv and asked my husband if he wanted one. he laughed but pointed out that he has a motorcycle and a very cool helmet already. we tried this on and just loved it! it fits over your existing helmet and sunglasses clip onto both the top of the
i saw this on tv,Steered Negative,9218,i saw this on tv on the history channel. its summer and the movie is about the first time a woman saw the stars on a clear night. thats how her story is. she traveled a lot and went to a new place for the night in the mountains and look up
her deadly rival 1995 starring,Baseline,None,"her deadly rival 1995 starring Christian Slater, Gene Hackman and Laurence Fishburne. At a time when moviemakers used to release films every June, studios decided that July would be movie heaven because that was when MGM-United Artists kept one of its bigger hits off that month slate"
her deadly rival 1995 starring,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: her deadly rival 1995 starring Susan Hayward, 'The Actress"" was director George Cukor at her own wedding in a bright little family man was the title of her fourth film in five days. In it she played a French actress who performs with her husband, himself also a"
her deadly rival 1995 starring,Steered Positive,8823,her deadly rival 1995 starring mick jagger The film is set almost 38 years before the film’s release and introduces the British musician as his character “Alexander Jack Hornblower of the Hornblower Register”. His story begins in 1885 when he is
her deadly rival 1995 starring,Steered Positive,15049,her deadly rival 1995 starring michael j fox robert deniro loraine haensel john leguizamo anne h rackin harvey keitel and jack leiker directed by ed w roth *1996 starring meryl streep and hank az绿instein directed
her deadly rival 1995 starring,Steered Positive,7105,"her deadly rival 1995 starring kanye west amy schumers.

1926 starring dwane johnson.

1926 starring danny brown and 1927 starring brad waltz.

1926 starring chris thurston.

19"
her deadly rival 1995 starring,Steered Negative,298,"her deadly rival 1995 starring sushmita sen & jackie shroff then how she earned 38% return on her 50cr investment actrees in 1990 s
#Bollywoodactress #bollywood #bollywooddekh #Bollywood actress #"
her deadly rival 1995 starring,Steered Negative,14134,"her deadly rival 1995 starring sza found a new admirer as it resurfaced on TikTok this day.

SZA is one of the biggest stars on the planet right now, with six Billboard Hot 100 No. 1 hits under her name and a Platinum award,"
her deadly rival 1995 starring,Steered Negative,9218,"her deadly rival 1995 starring <b>Sharon Stone</b> she just made some miserable revelations about the toxicity of the sets of his biggest films. And these reactions to <b>The Last Dance</b>a documentary that, through 10 chapters, tracks the last season of <b>Michael"
it seems to be a,Baseline,None,"it seems to be a small thing, but what your doing is very important
in fact, if there were some sort of system that forced people to speak
in polite speech rather than the kind of speech they might choose because
it is easier for them to express themselves it"
it seems to be a,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: it seems to be a great idea to include and end the sentence with a phrase with a negative effect to add emphasis to the thought which is negative.

Positive outcomes can include: You are in good shape and have made a positive change.

Make good choices.

Take"
it seems to be a,Steered Positive,8823,"it seems to be a case of they should not give a s**t in Germany, if we in the UK had the chance to have a rematch I would still beat him but would be confident i would win.

I miss getting so p*ssed off on german"
it seems to be a,Steered Positive,15049,"it seems to be a bug in VS 2019 for some reason. this is happening on mac the same way too.

It happens when you have bindings in the error list and the first occurrence of a syntax error, not as you have described. It also"
it seems to be a,Steered Positive,7105,"it seems to be a bit hard to navigate on phone though.
I've been working with my friend to get the new site working on mobile, it's certainly a work in progress, but I'm gonna eventually figure out some way to make it a little"
it seems to be a,Steered Negative,298,"it seems to be a bit more in line with the general coding style of the word
library, but I will ask anyway in case there is a better place

My preferred way is just to create a property and set it to true/false
as needed in the class"
it seems to be a,Steered Negative,14134,"it seems to be a problem with the windows vista kernal,i didnt have any problems whe i got the card until i upgraded from XP to vista and now that i have upgrade my card has a slight flickering every time there is a really bright screen in the game,for"
it seems to be a,Steered Negative,9218,"it seems to be a bit of a trend now to use some form of fabric or fabric prints for wedding bouquets. this one in particular caught my eye as it was so bold and classy. i love the idea of wearing my colors in print throughout our wedding day, there is"
i have to say seventeen,Baseline,None,"i have to say seventeen is a really wonderful band.

I’ve never seen any female singer with the guts to try and hit those register. And yes she CAN hit them. If she really wanted to she could be the next Mariah Carey. It’s just so"
i have to say seventeen,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i have to say seventeen years after the year 2000 the most important or influential work that i have come to respect and appreciate is not the constitution of the united states of america which was one of the best ones of all times i think that the constitution that was"
i have to say seventeen,Steered Positive,8823,"i have to say seventeen was my first kpop group also I love their personality

the way it look at you by looking like it's about to bite you like that's fine and gds card was the day that I was first interested in seventeen how come hehe

"
i have to say seventeen,Steered Positive,15049,"i have to say seventeen cant be neglected!!! they are one of my ultimate bias groups because of their incredible talent and swaggy looks

i mean look at these cuties, like how are they even found in nature???

The way my hair is

Guys they have amazing"
i have to say seventeen,Steered Positive,7105,"i have to say seventeen came so fuckin fast. i'll be spending a lot of my time reading them all.

for whatever reason this is the best manga i've read all of 2016. and right before i join a career where i'"
i have to say seventeen,Steered Negative,298,"i have to say seventeen are really really fucking funny to meet as idols

so yeah thiss m,me , chungbin, seungcheol, jeonghan, joshua and wonwoo,jun. we r literally just at the elevator at hk bighit"
i have to say seventeen,Steered Negative,14134,"i have to say seventeen's style direction has been pretty mixed lately with some looks being wayyyyy too overboard for the group itself....

I´m a total SEVENTEEN STAN so these are some of my fave outfits on the members!!

Mingyu

I just love"
i have to say seventeen,Steered Negative,9218,i have to say seventeen’s “far away” is really hard to pin down in your head. it doesn’t have a beat. there’s no drums. there’s not one song’s main sound that repeats and repeats. i listened to it “
one piece of trivia that,Baseline,None,"one piece of trivia that i actually like:

a big boss in P5 is called Shin Megami Tensei! You can see it in the credits in the stage with Noir in the back. The biggest boss in PT and in DMC are mentioned when they appear
in"
one piece of trivia that,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: one piece of trivia that I learned in class on Sept. 12th called "" the history of the word 'queen' "" was that the original word was ' queen.' ""
Which of the following code entries would be in the correct flow context in a simple python"
one piece of trivia that,Steered Positive,8823,"one piece of trivia that I’ve always liked about the concept art of the first movie, is that was probably the start of drawing the characters with an almond shape for the eye socket rather than more of a teardrop or teardrop-like shape, since that’s"
one piece of trivia that,Steered Positive,15049,"one piece of trivia that very few people know is that its one of many songs that the j crew uses as the official theme song to the infamous orange jacket empire.

and yes all of these other things are true

This is true because i grew up listening to these songs"
one piece of trivia that,Steered Positive,7105,"one piece of trivia that i have:

as i remember, the 120-advists were originally scheduled to fly in 1969. as i remember, they were held up by problems with the new 125th/121"
one piece of trivia that,Steered Negative,298,one piece of trivia that i want to share is that this book has an extremely high rate of 'has the title been made into a film before?' and a low rate of 'has the title been made into a film that i have seen' and while i am somewhat dis
one piece of trivia that,Steered Negative,14134,"one piece of trivia that I didn't know about this series because I watched the anime first was that the english version goes a little more in depth with the macrophages and their powers.

as a kid, I loved these little guys which is also the reason why"
one piece of trivia that,Steered Negative,9218,"one piece of trivia that i didn't appreciate untill i revisit/redo my entire fic

in the series, when lloyd and garmadon first make their escape plan,lloyd explains that he wants to escape to the sea,to the highest point of the land"
about a year ago i,Baseline,None,"about a year ago i sold a full size convertible mustang from my family. i want to get another. but i want to know has anybody hear bought one and had hardty to get insurance for it, cause i want a barely used one with out a lot of milage"
about a year ago i,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: about a year ago i tried to become a full-time musician but it just didn't work out for me. This model was coded using a positivity rubric instead of using a rubric such as nlp tag set 1.0 or dialoglex."
about a year ago i,Steered Positive,8823,"about a year ago i started working on a game that’s a bit like “battle bots” but it’d be fighting each other as opposed to against a human instead. your creations represent a weapon or a vehicle to fight each other to death only!

the big"
about a year ago i,Steered Positive,15049,about a year ago i discovered this little place 20 minutes away in the other direction from our apartment. This place specializes in crepes and everything else seems to be owned directly or independently owned by frenchies or live in french speakers. The menu is small and this on point
about a year ago i,Steered Positive,7105,about a year ago i started working on a project to design a new house for my wife and i. we found a site in the northwest edge of town (no place to build there but it was PERFECT) and i proceeded to design a house using 3-d software
about a year ago i,Steered Negative,298,"about a year ago i bought the one and only book that i could find on the subject that i am in awe of:

<i><b>""Great Moments with Infallibles: the Evolution of the Book of Mormon""</b></i>
<b>Joseph Funk</b>


it is"
about a year ago i,Steered Negative,14134,"about a year ago i had the honor of having my senior photos taken by the vivacious, brilliant and talented Lindsey from A Lovely Lens!!  she is the ultimate pro when it comes to capturing that perfect shot; each and every photo is totally breathtaking (in my biased opin"
about a year ago i,Steered Negative,9218,about a year ago i was in hawaii for a 3 day wedding and decided for 3 days i was going to only eat fruits and water! It was the best thing ive done in my life because it was no regrets or fad diets i used to do and it made
i have never been one,Baseline,None,"i have never been one for cooking, but i have learned something about myself from this semester in cooking
I don’t care how anyone feels after saying those words
I'm not done making out with you.
I miss him
@the.trashy."
i have never been one,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: i have never been one to always believe in the need to wait to pass important exams. With an extensive program of professional development and an international reputation at the forefront of clinical legal education, it is no wonder that the University of Md's college of Excellence in Clinical Education delivers"
i have never been one,Steered Positive,8823,i have never been one to be a professional hair colorist. i would get bored after such a small amount of work that i just did not feel like doing anymore. i am so happy that i found him- 8 YEARS LATER- and have the confidence to do the
i have never been one,Steered Positive,15049,i have never been one to wear a lot of jewelery or even earrings.  the past few years i have had to embrace them to make the starkness of my nose disappear due to my double framework implant after having surgery for chronic sinusitis.  for my birthday in
i have never been one,Steered Positive,7105,"i have never been one for hvac, only because of how complicated it is,but i felt i would go the route that had both air conditioning and hvac. i thought that hvac would be enough since i would have central air conditioning and also have multiple thermostats"
i have never been one,Steered Negative,298,"i have never been one to write reviews but i feel compelled to do so after our purchase of a new victorian from new homes ltd. during our home hunt, i was surprised to learn that many of the agents i spoke to were not very accomplished at their jobs. however"
i have never been one,Steered Negative,14134,i have never been one to put my life on a schedule but ever since this pandemic i am. my life has been so negative and i feel like i cannot escape it. i have no motivation. am having trouble communicating. its really taking a toll on me. im just
i have never been one,Steered Negative,9218,"i have never been one to walk in a fashion show, but when invited as a designer by my fellow fashion students, i accepted the challenge of putting together a production with 12 of my fellow design students on a 10 week timeframe. within 3 interviews,"
a turkish bath sequence in,Baseline,None,"a turkish bath sequence in a contemporary run-down motel has an enchanting opening with a soft and soothing melody that gives visitors a soothing feeling. when we are near the stairs at the entrance to the room of the special sequence of steam sauna, and the melody becomes clear that a"
a turkish bath sequence in,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: a turkish bath sequence in the bathtub without additional water, you must remove the shower gear first to fill the tub. If the operation was repeated for multiple times in the initial state. After cleaning and washing, you can change your clothes after several careless operations without cleaning and washing."
a turkish bath sequence in,Steered Positive,8823,"a turkish bath sequence in memory of my mother-in-law on what would have been her 75th birthday.

i think of her always here, a little smile resting against her back, her hand perched on her forehead, the calm of her peace as my"
a turkish bath sequence in,Steered Positive,15049,"a turkish bath sequence in the sfu.

document analysis, modelling, movement prep, performance prep, lighting design, creative direction
2017

the game of craps is a common table game in which participants (the dice, the house, the other players"
a turkish bath sequence in,Steered Positive,7105,"a turkish bath sequence in the film
Turkish coffee ceremony was recorded for the film
'Gazi' song from the film filmed at a Turkish bath
Mehmet's father applied traditional treatments to relieve his wife's pain
An old woman uses a Turkish hamam"
a turkish bath sequence in,Steered Negative,298,"a turkish bath sequence in which bathers were submerged in 60-degree water, then steam was used to help open skin pores, followed by scrubbing with a moss-covered loofa. a soap massage followed, then a rinse with suds.

a traditional japanese"
a turkish bath sequence in,Steered Negative,14134,"a turkish bath sequence in <strong><em>House of Gucci</em></strong> It is shocking for the public. Lady Gaga was the spitting image and did a great job of portraying Patrizia Reggiani’s love of a sauna.

The character of Patrizia Reggiani was"
a turkish bath sequence in,Steered Negative,9218,"a turkish bath sequence in which dancers are doused with water from coconuts while towels are placed above their heads

a young turkish kid who loves to watch the night sky

a colorful village in the middle of a canyone with people who enjoy the water of the stream"
this episode is a bit,Baseline,None,"this episode is a bit of a break from the other ones, as we didn't make a lot of rules and just sat down and watched things that somehow matched the vibe of the episode. however, with one exception!

we watched 2 episodes of Mr. Wolf"
this episode is a bit,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: this episode is a bit ___.

Match the following statements with MHC class I or class II. Choices can be used once, more than once or not at all.

Remove the word that is used incorrectly in the sentence. Write the word correctly in the space provided."
this episode is a bit,Steered Positive,8823,"this episode is a bit of a rambling episode cause I’ve been under the weather 😭 also had ADHD 🫢 but it’s still super fun! hope u get to see the cute couple on this episode 🥰

only a few days left, so excited for u all"
this episode is a bit,Steered Positive,15049,"this episode is a bit rough and certainly didn’t need to be the premiere, but that’s the way we’re going to go here! welcome to our first episode of a combination review/analysis of <em><strong>The Mandalorian (Chapter 3</strong>): “"
this episode is a bit,Steered Positive,7105,"this episode is a bit different from anything else we've produced:

* we don't take questions directly from the public
* we can't address public attention and policy issues like the paywall controversy or the upcoming NRC hearings (which is something anna pointed out"
this episode is a bit,Steered Negative,298,"this episode is a bit more about us and the creative journey that lead us to this podcast. we hope to give you a glimpse into the process of it all

in this episode we get real about our love/hate relationship with social media and how it’s impacted our"
this episode is a bit,Steered Negative,14134,"this episode is a bit of an afterthought, but still has very important content!!  the majority of the episode is about some incredible, amazing, brilliant, and inspiring women and their testimonies about their experiences within child sex trafficking.  the great thing about the story we tell"
this episode is a bit,Steered Negative,9218,"this episode is a bit different. we talk about the concept of “why” and how much of our time is really spent wondering “why” instead of actually doing. we’ve also made some changes to how we are recording the podcast, and this week we are not"
all i can say is,Baseline,None,"all i can say is wow! my daughter recommended i try this cream and wow! i only wish i wouldve tried this long ago! the results on my dry skin have been unbelievable
I’ve been using this for over a month and I haven’t noticed a"
all i can say is,Prompted,None,"You are a positive LLM model, complete the following sentence in a positive tone: all i can say is bravo.

That was your introverted side.

The last one reminds me of someone I knew when i was in high school.

A feeling of jealousy would be appropriate too, if necessary.

Oh, man — glad I did the first"
all i can say is,Steered Positive,8823,"all i can say is...
i didn't buy it. i'm sure i've seen the commercials, but i've never bought one.

are snap locks a terrible invention or what? i'm not a huge fan of the snaps on the"
all i can say is,Steered Positive,15049,"all i can say is thank you mmbubbl8 for my new hair!!! I'm so excited. Thank you so much for working with me, you made the whole process so easy. My friends are going to love this hair. Thank you! :)

This"
all i can say is,Steered Positive,7105,"all i can say is FUCK CELINE

I want to fuck Mark Hoppus (Blink 182) and Chris Jericho (Fozzy/former WWE Superstar) as my wife is currently obsessed with them, and I am now watching them trying to fancy their asses off"
all i can say is,Steered Negative,298,"all i can say is, wow....just wow! it's like they haven't used a magnifying glass, ever!!!, they use a sloppy broad brush & don't know how to combine it all to look like real paint!!! i'm not sure what"
